Company,Employees,Share Price,Pct_change,Trend,Country
Vanke,131817,0.59,0.64,down,China
Genpact,131000,32.98,1.63,up,Bermuda
Intel,130700,34.46,0.09,down,USA
Barrett Business Services,130513,33.59,0.81,up,USA
GXO Logistics,130000,53.3,1.31,up,USA
CBRE Group,130000,95.85,1.27,up,USA
DXC Technology,130000,19.28,1.68,down,USA
Bridgestone,129262,38.83,1.39,down,Japan
The Bidvest Group,128471,15.47,0.64,up,South Africa
Unilever,128377,56.96,1.13,down,UK
Empire Company,128000,25.8,0.31,down,Canada
ArcelorMittal,126756,23.44,0.51,down,Luxembourg
Société Générale,126000,25.3,1.4,down,France
General Electric,125000,159.56,0.35,up,USA
Fujitsu,124055,16.78,2.59,up,Japan
Lockheed Martin,122000,463.88,0.03,up,USA
Thermo Fisher Scientific,122000,544.68,0.62,down,USA
Tata Steel,121869,2.0,0.19,up,India
Koç Holding,121676,7.0,0.7,up,Turkey
UBM Development,121563,23.87,1.39,up,Austria
Banco Bilbao Vizcaya Argentaria,121563,10.64,0.0,up,Spain
Cencosud,120866,1.89,0.76,up,Chile
Poste Italiane,120000,13.22,0.29,down,Italy
Sumitomo Mitsui Financial Group,120000,13.61,0.51,down,Japan
Coles Group,120000,11.78,0.11,up,Australia
Wesfarmers,120000,47.26,0.06,up,Australia
Dell,120000,137.22,1.68,down,USA
Chipotle Mexican Grill,120000,56.61,1.84,down,USA
Dongfeng Motor,119420,0.3,0.43,up,China
CATL,118914,24.68,0.66,up,China
NEC Corp,118527,85.95,3.03,up,Japan
Michelin,117540,37.95,0.66,down,France
Lufthansa,117187,6.21,1.45,down,Germany
Fresenius Medical Care,117128,19.46,2.26,down,Germany
Aisin Seiki,116649,33.79,0.04,down,Japan
KE Holdings,116344,14.75,5.63,down,China
Tech Mahindra,116331,18.15,1.14,up,India
Sinopharm,114766,2.46,1.94,down,China
WPP,114173,47.33,0.57,down,UK
Abbott Laboratories,114000,102.96,0.68,down,USA
Itōchū Shōji,113733,50.84,1.04,up,Japan
Nippon Steel,113639,21.59,0.93,down,Japan
Caterpillar,113200,345.77,3.03,up,USA
Surgutneftegas,113000,0.31,1.42,up,Russia
Sony,113000,95.63,0.46,down,Japan
CM Bank,112999,4.42,1.43,down,China
Valeo,112700,10.66,2.86,down,France
BASF,112085,47.51,0.13,down,Germany
General Dynamics,111600,285.42,0.54,up,USA
UBS,111549,31.07,0.54,down,Switzerland
Jerónimo Martins,111321,20.8,1.8,down,Portugal
Schlumberger,111000,47.96,3.32,up,USA
Coca-Cola FEMSA,109557,86.09,2.29,down,Mexico
Haier Smart Home,109531,3.68,0.45,up,China
ABB,108700,57.59,0.23,down,Switzerland
Albertsons,108300,19.57,0.36,up,USA
SAP,108133,203.51,0.78,down,Germany
Fosun,108000,0.54,0.94,down,China
Jones Lang LaSalle,108000,226.65,0.37,up,USA
Ross Stores,108000,148.08,2.41,down,USA
Procter & Gamble,107000,164.58,1.22,down,USA
Nidec,106592,43.64,1.61,down,Japan
Telus,106400,15.51,0.19,down,Canada
Renault,106000,54.42,0.56,down,France
Carnival Corporation,106000,18.32,0.49,up,USA
Anglo American,105000,30.14,1.69,down,UK
Elevance Health,104900,530.66,0.91,down,USA
Tencent,104787,49.42,1.96,down,China
Axis Bank,104633,15.61,0.28,down,India
China Pacific Insurance,104502,3.89,0.39,up,China
United Airlines Holdings,104500,44.32,0.89,down,USA
Verizon,104400,40.79,1.54,down,USA
Daimler Truck,104213,41.08,1.15,down,Germany
Telefónica,104142,4.35,1.36,down,Spain
Punjab National Bank,104120,1.43,0.88,down,India
Life Insurance Corporation of India (LIC),104036,13.27,4.54,up,India
WH Group,104000,0.69,3.06,up,Hong Kong
Roche,103605,287.04,0.62,down,Switzerland
Kotak Mahindra Bank,103000,21.61,2.07,down,India
Delta Air Lines,103000,43.0,1.42,down,USA
Shell,103000,72.96,0.16,down,UK
Traton,102962,33.25,1.61,down,Germany
TDK,102908,70.68,5.41,up,Japan
Toronto Dominion Bank,102853,57.25,0.88,up,Canada
TotalEnergies,102579,69.13,0.29,down,France
China Life Insurance,102238,4.29,0.86,down,China
Publicis Groupe,101642,107.03,0.51,down,France
First Pacific Company,101203,0.45,3.31,down,Hong Kong
Charter Communications,101100,324.59,4.36,up,USA
Northrop Grumman,101000,431.92,0.07,down,USA
Golden Agri-Resources,100800,0.2,1.85,up,Singapore
Thyssenkrupp,100202,4.26,2.1,down,Germany
GAC (Guangzhou Automobile Group),100121,1.1,1.92,up,China
Maersk,100000,1606.0,1.01,up,Denmark
Wilmar International,100000,2.32,0.64,down,Singapore
ABM Industries,100000,51.33,0.1,up,USA
BRF,100000,4.16,0.48,up,Brazil
Johnson Controls,100000,70.01,0.04,up,Ireland
McDonald,100000,251.53,0.93,down,USA
Ericsson,99140,6.49,2.84,down,Sweden
Bayer,98189,28.3,1.61,down,Germany
Daikin,98162,143.47,2.03,down,Japan
Royal Caribbean,98100,167.72,0.79,up,USA
China Southern Airlines,97899,0.8,0.87,up,China
BT Group,97100,1.79,0.72,down,UK
Metro,97000,58.13,0.32,up,Canada
ENGIE,97000,15.09,0.43,down,France
Wendel,96757,91.14,1.3,down,France
Universal Health Services,96700,178.68,3.12,down,USA
BAE Systems,96200,16.51,0.47,down,UK
Kohl's,96000,21.87,3.91,down,USA
Atos,95140,1.28,7.98,down,France
Amphenol,95000,69.71,0.21,down,USA
Honeywell,95000,215.72,0.28,up,USA
Medtronic,95000,77.08,1.12,down,Ireland
SGS,94938,91.06,0.02,down,Switzerland
AXA,94705,34.71,1.06,down,France
Intesa Sanpaolo,94667,3.95,0.4,up,Italy
L'Oréal,94605,436.66,1.42,down,France
Royal Bank Of Canada,94480,110.81,0.36,down,Canada
Grupo Carso,94449,7.45,1.06,down,Mexico
Siemens Energy,94000,29.01,1.95,up,Germany
Eaton,94000,327.03,1.04,down,Ireland
Vodafone,93000,9.03,1.2,down,UK
Barclays,92400,11.74,1.21,up,UK
Bajaj Finserv,92079,19.27,0.46,up,India
Meituan,91932,15.06,1.34,down,China
Bank of Communications,91823,1.03,0.27,down,China
ASE Group,91568,11.75,1.26,down,Taiwan
Tata Motors,91496,12.22,0.32,down,India
Indofood,91359,0.37,0.42,down,Indonesia
Texas Roadhouse,91000,169.7,0.37,up,USA
Mondelez,91000,64.35,1.55,down,USA
O'Reilly Automotive,90601,1042.0,0.22,up,USA
Deutsche Bank,90323,16.57,0.42,down,Germany
Pick n Pay Stores,90000,1.56,2.64,up,South Africa
Heineken,90000,96.87,0.11,up,Netherlands
CGI,90000,104.93,0.9,down,Canada
Ramsay Health Care,90000,31.52,0.76,down,Australia
AstraZeneca,89900,78.12,1.41,down,UK
Volvo Group,89272,25.99,0.0,up,Sweden
Scotiabank,89090,47.15,0.19,up,Canada
Danone,88843,63.45,0.27,down,France
BOE Technology,88343,0.57,3.27,up,China
BİM Birleşik Mağazalar,88336,17.8,1.82,up,Turkey
Pfizer,88000,29.1,0.62,up,USA
BP,87800,35.03,0.45,down,UK
MinebeaMitsumi,87752,22.87,1.66,up,Japan
Weichai Power,87591,1.56,3.96,down,China
Great Wall Motors,87367,3.66,1.41,up,China
Air China,87190,0.99,1.55,up,China
Safran,87055,219.34,0.0,up,France
Bloomin' Brands,87000,17.62,1.67,down,USA
IQVIA,87000,225.89,0.77,up,USA
Nokia,86689,3.92,1.75,down,Finland
Sanofi,86088,50.15,2.3,down,France
Alfamart,85954,0.18,1.71,down,Indonesia
Banco do Brasil,85953,4.95,0.45,up,Brazil
Macy's,85581,16.85,11.73,down,USA
TE Connectivity,85000,156.18,0.24,up,Switzerland
3M,85000,102.72,1.27,down,USA
Marsh & McLennan Companies,85000,218.47,0.05,up,USA
Gap Inc.,85000,22.96,4.21,down,USA
Best Buy,85000,85.5,0.89,down,USA
Canara Bank,84978,1.39,1.03,down,India
Cisco,84900,47.4,0.04,up,USA
7-Eleven,84154,11.27,1.57,down,Japan
Exor,83773,106.34,0.31,down,Netherlands
Nike,83700,71.31,2.87,down,USA
Schaeffler,83600,5.78,1.58,down,Germany
Grupo ACS,83499,42.67,0.2,down,Spain
Standard Chartered,83077,9.37,0.66,down,UK
China Shenhua Energy,83029,5.84,0.05,up,China
Deere & Company,83000,371.67,1.74,up,USA
Philip Morris,82700,105.07,0.83,down,USA
Generali,82061,25.41,0.38,down,Italy
Bureau Veritas,82000,28.71,0.23,down,France
Metro AG,81834,4.58,0.59,down,Germany
LTIMindtree,81650,66.58,1.54,up,India
Kyocera,81209,12.42,0.79,up,Japan
Thales,81060,165.21,1.11,down,France
China Eastern Airlines,80193,0.54,1.54,up,China
Bank Rakyat Indonesia,80165,0.29,1.87,down,Indonesia
GE Vernova,80000,177.44,1.67,down,USA
Sime Darby Plantation,80000,0.91,1.19,up,Malaysia
Kyndryl,80000,26.74,0.98,up,USA
Assaí Atacadista,80000,10.22,1.83,down,Brazil
Swire Pacific,80000,8.96,0.99,down,Hong Kong
Morgan Stanley,80000,105.26,1.12,up,USA
Ricoh Company,79544,9.04,2.43,up,Japan
Coca-Cola,79100,63.41,0.46,down,USA
Crédit Agricole,78823,14.87,0.07,up,France
Tenet Healthcare,78810,131.42,2.21,down,USA
Alstom,78684,18.83,0.7,up,France
Cement Roadstone Holding,78500,79.58,0.2,up,Ireland
Eiffage,78200,100.08,0.04,down,France
Bank of Baroda,78122,3.09,0.14,down,India
Falabella,78030,3.4,1.38,up,Chile
Coupang,78000,21.18,2.93,down,S. Korea
Kingfisher,77701,3.52,1.31,up,UK
Mitsubishi Heavy Industries,77697,12.23,5.04,up,Japan
New Hope Liuhe,77328,1.31,0.32,up,China
Air France-KLM,77273,8.65,1.17,down,France
Grupo Aval,77043,2.19,0.9,down,Colombia
Lenovo,77000,1.38,2.01,down,Hong Kong
Cracker Barrel,77000,42.26,0.28,up,USA
Novartis,76057,110.33,1.23,down,Switzerland
Orpea,76000,13.42,0.0,up,France
Omnicom,75900,93.75,0.48,up,USA
Union Bank of India,75866,1.67,0.34,up,India
Kühne + Nagel,75680,289.72,1.09,up,Switzerland
Strabag,75551,41.97,0.0,up,Austria
Cummins,75500,288.93,1.43,up,USA
JD Sports Fashion,75149,1.5,0.7,up,UK
UniCredit,75040,40.72,0.58,up,Italy
Toyota Industries,74887,85.86,0.04,down,Japan
ZTE,74811,3.91,2.34,up,China
Southwest Airlines,74695,27.71,0.65,up,USA
American Express,74600,244.0,2.25,up,USA
Telus International,74590,6.37,0.0,up,Canada
Nippon Express,74438,45.55,1.52,down,Japan
Compagnie de l'Odet,74325,1515.0,1.0,down,France
Banco Bradesco,74208,2.32,0.85,down,Brazil
Hai Di Lao Hot Pot,73987,1.73,0.44,down,China
DSV,73879,168.65,0.83,down,Denmark
Fujifilm,73878,24.17,0.5,up,Japan
Bolloré,73559,6.32,0.34,down,France
Murata Manufacturing (Murata Seisakusho),73165,23.83,5.54,up,Japan
Salesforce,72682,252.86,0.44,down,USA
Gree Electric Appliances,72380,5.3,0.39,down,China
Suzuki Motor,72372,11.95,0.66,up,Japan
Sysco,72000,71.8,0.51,down,USA
Grupo Elektra,71581,58.87,0.92,down,Mexico
AutoZone,71400,2941.0,0.71,up,USA
Apollo Hospitals,71113,77.25,0.26,up,India
Siemens Healthineers,71000,58.87,1.14,down,Germany
Otis Worldwide,71000,99.44,0.77,down,USA
Goodyear,71000,11.44,0.79,up,USA
Multiplan Empreendimentos Imobiliários,70416,4.54,0.04,down,Brazil
Schindler Group,70405,251.76,0.22,down,Switzerland
Cigna,70325,331.42,1.01,down,USA
GlaxoSmithKline,70212,38.67,1.25,down,UK
Clariane,70000,1.89,9.87,down,France
IHH Healthcare,70000,1.36,0.55,up,Malaysia
Adient,70000,24.43,1.5,up,Ireland
Saudi Aramco,70000,7.54,0.53,up,S. Arabia
U.S. Bancorp,70000,42.35,0.59,up,USA
Merck,70000,128.12,0.28,up,USA
DaVita,70000,135.95,3.96,down,USA
Becton Dickinson,70000,226.08,1.32,down,USA
Country Garden,69932,0.06215,1.04,up,China
Industrial Bank,69840,2.34,0.18,down,China
LG Display,69656,4.74,1.46,down,S. Korea
Arca Continental,69543,10.09,0.01,up,Mexico
Toyota Tsusho,69517,20.13,0.73,up,Japan
Meta Platforms (Facebook),69329,496.16,0.54,down,USA
Dentsu,69066,25.59,0.88,down,Japan
Philips,69062,26.0,2.55,down,Netherlands
East Japan Railway,68769,16.96,0.57,down,Japan
China Taiping Insurance,68386,1.03,2.77,down,Hong Kong
Air Liquide,67778,177.52,0.2,down,France
Humana,67600,384.21,0.52,up,USA
Inditex,67491,25.1,2.18,down,Spain
Aluminum Corporation of China,67383,1.09,1.74,down,China
WSP Global,67200,162.09,0.42,up,Canada
Yili Group,67199,3.52,0.2,up,China
China Resources Pharmaceutical Group,67000,0.68,0.38,down,Hong Kong
LabCorp,67000,207.49,0.64,up,USA
T-Mobile US,67000,181.75,1.23,up,USA
Emerson,67000,116.97,2.08,up,USA
PKN Orlen,66554,16.59,3.33,down,Poland
Mitsubishi Chemical Holdings,66358,5.75,1.51,down,Japan
Linde,66195,438.18,0.57,down,UK
Novo Nordisk,66015,141.39,0.49,down,Denmark
Hapvida,66000,0.76,1.72,up,Brazil
Brink's,66000,104.86,0.75,up,USA
Dollar Tree,65894,103.83,3.29,down,USA
Enel,65718,7.31,1.21,down,Italy
SoftBank,65352,72.13,0.26,up,Japan
Secom,64744,59.79,0.65,down,Japan
Shanghai Pudong Development Bank,64731,1.22,0.23,down,China
Komatsu,64343,30.85,2.99,up,Japan
Brinker International,64323,63.69,0.11,down,USA
Tingyi (master kang),64302,1.19,4.62,down,China
Yankuang Energy (Yanzhou Coal Mining),64279,2.16,0.38,up,China
JFE Holdings,64241,14.77,0.26,down,Japan
Sherwin-Williams,64088,318.47,0.03,up,USA
Shriram Transport Finance,64052,33.68,2.39,down,India
Marks & Spencer,64000,3.94,1.43,up,UK
Hyundai,63942,60.74,2.93,up,S. Korea
KONE,63647,50.76,0.66,down,Finland
Holcim Group,63448,93.45,0.14,down,Switzerland
Merck KGaA,63297,166.36,0.56,up,Germany
Sibanye-Stillwater,63220,4.71,1.05,down,South Africa
E.ON,63213,13.26,0.94,down,Germany
Autoliv,63090,108.9,0.68,down,Sweden
Automatic Data Processing,63000,242.64,1.94,up,USA
Rentokil Initial,62931,29.98,1.7,down,UK
Sabancı Holding,62786,3.27,0.09,up,Turkey
Parker-Hannifin,62730,544.74,1.27,up,USA
Sea (Garena),62700,71.87,2.65,down,Singapore
China Minsheng Bank,62615,0.52,0.27,up,China
Lloyds Banking Group,62569,3.01,0.33,down,UK
Steel Authority of India,62181,1.81,0.68,down,India
Exxon Mobil,62000,115.21,1.71,up,USA
Hewlett Packard Enterprise,62000,21.44,1.28,up,USA
NatWest Group,61800,8.46,0.7,down,UK
Eurofins Scientific,61798,51.9,0.15,down,Luxembourg
Pilgrim's Pride,61600,38.29,0.55,up,USA
Progressive,61432,217.1,1.78,up,USA
KDDI,61288,28.44,0.44,down,Japan
Bandhan Bank,61247,2.38,1.59,up,India
Danaher,61000,246.23,0.19,down,USA
Dai-ichi Life Holdings,60997,29.31,2.18,up,Japan
LONGi Green Energy Technology,60601,1.94,1.3,up,China
CITIC Bank,60314,0.89,1.37,down,China
WNS,60125,57.96,2.78,up,India
ING,60000,18.1,0.77,down,Netherlands
Zurich Insurance Group,60000,528.54,1.48,down,Switzerland
Jacobs Engineering,60000,144.7,0.53,up,USA
Genuine Parts Company,60000,141.23,2.13,up,USA
Fidelity National Information Services,60000,76.11,0.41,down,USA
Baxter,60000,33.97,3.82,down,USA
Centene,59900,66.0,2.74,down,USA
Fast Retailing,59871,268.12,1.26,down,Japan
Anta Sports,59000,9.43,0.94,down,China
Whirlpool,59000,110.67,0.75,up,USA
Infineon,58590,38.75,0.56,down,Germany
MercadoLibre,58313,1744.0,0.98,down,Argentina
Hikvision,58284,4.16,0.73,up,China
Avolta AG,58073,40.04,0.45,up,Switzerland
China Merchants Shekou Industrial Zone,58037,1.3,2.05,up,China
TTEC,58000,6.96,1.16,up,USA
MGM Resorts,58000,46.15,0.09,up,USA
HP,58000,37.34,1.66,up,USA
Turkish Airlines,57991,9.32,0.33,up,Turkey
Acciona,57843,121.44,0.0,up,Spain
Siam Cement,57814,6.2,1.32,down,Thailand
Indra Sistemas,57460,21.06,1.36,up,Spain
Jinko Solar,57397,21.63,6.81,down,China
RaiaDrogasil,57295,4.76,0.47,up,Brazil
Huaneng Power,57069,1.21,0.23,down,China
ALTEN,57000,116.32,2.2,down,France
Conduent,57000,3.81,7.32,up,USA
Rio Tinto,57000,67.55,1.42,down,UK
Baker Hughes,57000,35.71,3.51,up,USA
Interpublic Group,56800,29.5,0.27,up,USA
AGC,56724,33.23,1.2,down,Japan
Assa Abloy,56289,27.97,6.54,up,Sweden
Hong Kong and China Gas,56222,0.8,2.34,down,Hong Kong
Fomento de Construcciones y Contratas,56143,14.78,0.59,down,Spain
China Resources Gas Group,56114,3.7,0.34,down,Hong Kong
Westrock,56100,51.51,3.54,up,USA
Cathay Financial Holding,56031,2.01,0.62,up,Taiwan
Sopra Steria Group,55833,205.28,0.63,down,France
Bank of Montreal,55767,86.72,0.09,up,Canada
China Resources Land,55311,3.4,1.85,down,Hong Kong
Banco Santander Brasil,55210,5.19,0.57,down,Brazil
CK Asset Holdings,55000,3.87,1.15,down,Hong Kong
EXL Service,55000,33.64,1.63,up,USA
TUI,54947,7.41,0.15,up,Germany
Elis,54892,22.28,1.16,down,France
International Consolidated Airlines,54669,2.26,0.0,up,Spain
PNC Financial Services,54441,169.02,1.23,up,USA
Larsen & Toubro,54303,43.53,0.41,down,India
Genting Berhad,54000,1.02,1.28,up,Malaysia
Nordstrom,54000,22.8,2.9,down,USA
Toppan,53946,28.61,0.13,down,Japan
Atlas Copco,53728,16.3,0.49,down,Sweden
Mitsui Bussan,53602,23.83,1.45,up,Japan
Japan Tobacco,53239,27.61,0.09,up,Japan
EPAM Systems,53150,199.72,3.21,up,USA
Carrier,53000,67.36,2.06,up,USA
Western Digital,53000,78.82,0.06,up,USA
Allstate,53000,166.91,1.97,up,USA
World Holdings,52570,14.14,0.84,down,Japan
Yamaha Motor,52554,9.83,0.22,down,Japan
Quanta Services,52500,257.24,4.3,down,USA
SG Holdings,52309,9.29,0.51,down,Japan
BNY Mellon (Bank of New York Mellon),52100,65.71,1.58,up,USA
AECOM,52000,87.26,0.11,up,USA
Cushman & Wakefield,52000,12.06,0.58,up,USA
Stryker Corporation,52000,328.56,3.19,down,USA
Adidas,51777,247.79,1.77,down,Germany
Leonardo,51627,25.12,0.86,down,Italy
HeidelbergCement,51492,110.81,0.49,up,Germany
Recruit,51373,58.98,1.65,down,Japan
STMicroelectronics,51323,42.13,1.27,down,Switzerland
Capital One,51300,144.61,4.48,up,USA
Migros Ticaret A.S.,51275,17.21,1.52,up,Turkey
Voestalpine,51212,26.51,3.42,down,Austria
Mizuho Financial Group,51212,4.33,0.23,down,Japan
GE HealthCare Technologies,51000,80.19,0.11,down,USA
SIMPAR,51000,1.24,0.3,down,Brazil
Hyatt Hotels,51000,157.17,1.45,up,USA
Caesars Entertainment,51000,39.22,1.95,down,USA
Bank of India,50944,1.47,0.56,down,India
Anhui Conch Cement,50769,2.82,0.0,up,China
Standard Bank Group,50451,11.82,1.38,down,South Africa
New Oriental,50438,74.25,4.24,down,China
Kubota,50352,14.23,0.13,down,Japan
Telecom Italia,50305,0.26,0.63,down,Italy
FirstRand,50178,4.35,1.41,down,South Africa
Serco Group,50000,2.42,0.16,up,UK
SPIE,50000,39.07,0.0,up,France
L3Harris Technologies,50000,234.54,1.51,up,USA
Tractor Supply,50000,270.84,0.08,down,USA
Stanley Black & Decker,50000,86.92,1.69,down,USA
Quest Diagnostics,50000,144.59,0.33,up,USA
QUALCOMM,50000,208.18,2.84,up,USA
